0.444085103	0.94477988	6.535996226	17.7992793	22.90079428	32.67049248
0.444085103	0.94477988	6.535996226	17.7992793	22.90079428	32.67049248
0.444085103	0.94477988	6.535996226	17.7992793	22.90079428	32.67049248
0.444085103	0.94477988	6.535996226	17.7992793	22.90079428	32.67049248
0.444085103	0.94477988	6.535996226	17.7992793	22.90079428	32.67049248
0.444085103	0.94477988	6.535996226	17.7992793	22.90079428	32.67049248
0.444085103	0.94477988	6.535996226	17.7992793	22.90079428	32.67049248
0.444085103	0.94477988	6.535996226	17.7992793	22.90079428	32.67049248
0.444085103	0.94477988	6.535996226	17.7992793	22.90079428	32.67049248
0.42765589	0.975339295	7.409132176	21.40059618	27.81353471	37.7990276
0.42765589	0.975339295	7.409132176	21.40059618	27.81353471	37.7990276
0.392065879	0.935116974	7.427853386	22.06905857	28.97770942	39.65982411
0.392065879	0.935116974	7.427853386	22.06905857	28.97770942	39.65982411
0.392065879	0.935116974	7.427853386	22.06905857	28.97770942	39.65982411
0.438673588	1.009741133	7.81056603	22.48823252	29.7571958	42.49334877
0.438673588	1.009741133	7.81056603	22.48823252	29.7571958	42.49334877
0.437024624	1.00550258	7.831156688	22.53261217	29.75244312	42.39931241
0.613607795	1.284660436	7.881337918	23.83220867	41.31121069	54.60507553
0.958795306	1.985286122	9.019315368	25.77823489	44.88579957	55.73009627
0.958795306	1.985286122	9.019315368	25.77823489	44.88579957	55.73009627
0.970449533	1.953378195	8.593457124	23.14755098	39.01230301	47.95697762
1.136130301	2.13539409	8.76563705	21.45480635	27.6247536	37.37200381
1.762599473	2.857168014	9.092295039	20.84156874	26.59720318	35.29592076
1.572658264	2.562945831	7.613227458	17.68774574	22.00323495	27.80245509
1.555618918	2.427662852	7.346185777	18.65801744	24.37861904	33.64630766
